67,"Laboratorio Clínico - B","Apoyo","Diagnóstico","II Nivel"
68,"Consulta Externa - C","Ambulatorio","Medicina General","I Nivel"
69,"Imagenología - Norte","Apoyo","Diagnóstico","II Nivel"
70,"Ginecología y Obstetricia - Sur","Hospitalario","Maternidad","III Nivel"
71,"Cirugía General - Sala 72","Quirúrgico","Quirófano","III Nivel"
72,"Consulta Externa - A","Ambulatorio","Medicina General","I Nivel"
73,"Consulta Externa - B","Ambulatorio","Medicina General","I Nivel"
74,"Pediatría - C","Hospitalario","Clínico","III Nivel"
75,"Emergencias - Norte","Emergencia","Hospitalización","II Nivel"
76,"Cardiología - Sur","Ambulatorio","Especialidades","III Nivel"
77,"Pediatría - Sala 78","Hospitalario","Clínico","III Nivel"
78,"Ginecología y Obstetricia - A","Hospitalario","Maternidad","III Nivel"
79,"Pediatría - B","Hospitalario","Clínico","III Nivel"
80,"Pediatría - C","Hospitalario","Clínico","III Nivel"
81,"Laboratorio Clínico - Norte","Apoyo","Diagnóstico","II Nivel"
82,"Cardiología - Sur","Ambulatorio","Especialidades","III Nivel"
83,"Traumatología - Sala 84","Hospitalario","Especialidades","III Nivel"
84,"Unidad de Cuidados Intensivos - A","Hospitalario","Crítica","III Nivel"
85,"Ginecología y Obstetricia - B","Hospitalario","Maternidad","III Nivel"
86,"Traumatología - C","Hospitalario","Especialidades","III Nivel"
87,"Imagenología - Norte","Apoyo","Diagnóstico","II Nivel"
88,"Imagenología - Sur","Apoyo","Diagnóstico","II Nivel"
89,"Unidad de Cuidados Intensivos - Sala 90","Hospitalario","Crítica","III Nivel"
90,"Ginecología y Obstetricia - A","Hospitalario","Maternidad","III Nivel"
91,"Imagenología - B","Apoyo","Diagnóstico","II Nivel"
92,"Ginecología y Obstetricia - C","Hospitalario","Maternidad","III Nivel"
93,"Ginecología y Obstetricia - Norte","Hospitalario","Maternidad","III Nivel"
94,"Ginecología y Obstetricia - Sur","Hospitalario","Maternidad","III Nivel"
95,"Consulta Externa - Sala 96","Ambulatorio","Medicina General","I Nivel"
96,"Consulta Externa - A","Ambulatorio","Medicina General","I Nivel"
97,"Cirugía General - B","Quirúrgico","Quirófano","III Nivel"
98,"Pediatría - C","Hospitalario","Clínico","III Nivel"
99,"Cardiología - Norte","Ambulatorio","Especialidades","III Nivel"
100,"Ginecología y Obstetricia - Sur","Hospitalario","Maternidad","III Nivel"
101,"Laboratorio Clínico - Sala 2","Apoyo","Diagnóstico","II Nivel"
102,"Traumatología - A","Hospitalario","Especialidades","III Nivel"
103,"Pediatría - B","Hospitalario","Clínico","III Nivel"
104,"Unidad de Cuidados Intensivos - C","Hospitalario","Crítica","III Nivel"
105,"Cirugía General - Norte","Quirúrgico","Quirófano","III Nivel"
106,"Emergencias - Sur","Emergencia","Hospitalización","II Nivel"
107,"Emergencias - Sala 8","Emergencia","Hospitalización","II Nivel"
108,"Consulta Externa - A","Ambulatorio","Medicina General","I Nivel"
109,"Ginecología y Obstetricia - B","Hospitalario","Maternidad","III Nivel"
110,"Cardiología - C","Ambulatorio","Especialidades","III Nivel"
111,"Pediatría - Norte","Hospitalario","Clínico","III Nivel"
112,"Consulta Externa - Sur","Ambulatorio","Medicina General","I Nivel"
113,"Emergencias - Sala 14","Emergencia","Hospitalización","II Nivel"
114,"Imagenología - A","Apoyo","Diagnóstico","II Nivel"
115,"Emergencias - B","Emergencia","Hospitalización","II Nivel"
116,"Emergencias - C","Emergencia","Hospitalización","II Nivel"
117,"Emergencias - Norte","Emergencia","Hospitalización","II Nivel"
118,"Laboratorio Clínico - Sur","Apoyo","Diagnóstico","II Nivel"
119,"Cirugía General - Sala 20","Quirúrgico","Quirófano","III Nivel"
120,"Traumatología - A","Hospitalario","Especialidades","III Nivel"
121,"Consulta Externa - B","Ambulatorio","Medicina General","I Nivel"
122,"Cardiología - C","Ambulatorio","Especialidades","III Nivel"
123,"Cardiología - Norte","Ambulatorio","Especialidades","III Nivel"
124,"Traumatología - Sur","Hospitalario","Especialidades","III Nivel"
125,"Consulta Externa - Sala 26","Ambulatorio","Medicina General","I Nivel"
126,"Consulta Externa - A","Ambulatorio","Medicina General","I Nivel"
127,"Consulta Externa - B","Ambulatorio","Medicina General","I Nivel"
128,"Cirugía General - C","Quirúrgico","Quirófano","III Nivel"
129,"Ginecología y Obstetricia - Norte","Hospitalario","Maternidad","III Nivel"
130,"Consulta Externa - Sur","Ambulatorio","Medicina General","I Nivel"
131,"Ginecología y Obstetricia - Sala 32","Hospitalario","Maternidad","III Nivel"
132,"Unidad de Cuidados Intensivos - A","Hospitalario","Crítica","III Nivel"
133,"Consulta Externa - B","Ambulatorio","Medicina General","I Nivel"
134,"Unidad de Cuidados Intensivos - C","Hospitalario","Crítica","III Nivel"
135,"Traumatología - Norte","Hospitalario","Especialidades","III Nivel"
136,"Laboratorio Clínico - Sur","Apoyo","Diagnóstico","II Nivel"
137,"Pediatría - Sala 38","Hospitalario","Clínico","III Nivel"
138,"Ginecología y Obstetricia - A","Hospitalario","Maternidad","III Nivel"
139,"Cirugía General - B","Quirúrgico","Quirófano","III Nivel"
140,"Cardiología - C","Ambulatorio","Especialidades","III Nivel"
141,"Ginecología y Obstetricia - Norte","Hospitalario","Maternidad","III Nivel"
142,"Cardiología - Sur","Ambulatorio","Especialidades","III Nivel"
143,"Pediatría - Sala 44","Hospitalario","Clínico","III Nivel"
144,"Imagenología - A","Apoyo","Diagnóstico","II Nivel"
145,"Ginecología y Obstetricia - B","Hospitalario","Maternidad","III Nivel"
146,"Imagenología - C","Apoyo","Diagnóstico","II Nivel"
147,"Unidad de Cuidados Intensivos - Norte","Hospitalario","Crítica","III Nivel"
148,"Ginecología y Obstetricia - Sur","Hospitalario","Maternidad","III Nivel"
149,"Emergencias - Sala 50","Emergencia","Hospitalización","II Nivel"
150,"Cardiología - A","Ambulatorio","Especialidades","III Nivel"
151,"Unidad de Cuidados Intensivos - B","Hospitalario","Crítica","III Nivel"
152,"Laboratorio Clínico - C","Apoyo","Diagnóstico","II Nivel"
153,"Cardiología - Norte","Ambulatorio","Especialidades","III Nivel"
154,"Unidad de Cuidados Intensivos - Sur","Hospitalario","Crítica","III Nivel"
155,"Ginecología y Obstetricia - Sala 56","Hospitalario","Maternidad","III Nivel"
156,"Cirugía General - A","Quirúrgico","Quirófano","III Nivel"
157,"Laboratorio Clínico - B","Apoyo","Diagnóstico","II Nivel"
158,"Cirugía General - C","Quirúrgico","Quirófano","III Nivel"
159,"Imagenología - Norte","Apoyo","Diagnóstico","II Nivel"
160,"Traumatología - Sur","Hospitalario","Especialidades","III Nivel"
161,"Cardiología - Sala 62","Ambulatorio","Especialidades","III Nivel"
162,"Traumatología - A","Hospitalario","Especialidades","III Nivel"
163,"Unidad de Cuidados Intensivos - B","Hospitalario","Crítica","III Nivel"
164,"Emergencias - C","Emergencia","Hospitalización","II Nivel"
165,"Emergencias - Norte","Emergencia","Hospitalización","II Nivel"
166,"Unidad de Cuidados Intensivos - Sur","Hospitalario","Crítica","III Nivel"
167,"Imagenología - Sala 68","Apoyo","Diagnóstico","II Nivel"
168,"Ginecología y Obstetricia - A","Hospitalario","Maternidad","III Nivel"
169,"Laboratorio Clínico - B","Apoyo","Diagnóstico","II Nivel"
170,"Unidad de Cuidados Intensivos - C","Hospitalario","Crítica","III Nivel"
171,"Laboratorio Clínico - Norte","Apoyo","Diagnóstico","II Nivel"
172,"Cirugía General - Sur","Quirúrgico","Quirófano","III Nivel"
173,"Pediatría - Sala 74","Hospitalario","Clínico","III Nivel"
174,"Cardiología - A","Ambulatorio","Especialidades","III Nivel"
175,"Emergencias - B","Emergencia","Hospitalización","II Nivel"
176,"Cardiología - C","Ambulatorio","Especialidades","III Nivel"
177,"Cardiología - Norte","Ambulatorio","Especialidades","III Nivel"
178,"Laboratorio Clínico - Sur","Apoyo","Diagnóstico","II Nivel"
179,"Emergencias - Sala 80","Emergencia","Hospitalización","II Nivel"
180,"Traumatología - A","Hospitalario","Especialidades","III Nivel"
181,"Ginecología y Obstetricia - B","Hospitalario","Maternidad","III Nivel"
182,"Cardiología - C","Ambulatorio","Especialidades","III Nivel"
183,"Consulta Externa - Norte","Ambulatorio","Medicina General","I Nivel"
184,"Cirugía General - Sur","Quirúrgico","Quirófano","III Nivel"
185,"Ginecología y Obstetricia - Sala 86","Hospitalario","Maternidad","III Nivel"
186,"Cirugía General - A","Quirúrgico","Quirófano","III Nivel"
187,"Cardiología - B","Ambulatorio","Especialidades","III Nivel"
188,"Consulta Externa - C","Ambulatorio","Medicina General","I Nivel"
189,"Laboratorio Clínico - Norte","Apoyo","Diagnóstico","II Nivel"
190,"Imagenología - Sur","Apoyo","Diagnóstico","II Nivel"
191,"Unidad de Cuidados Intensivos - Sala 92","Hospitalario","Crítica","III Nivel"
192,"Cardiología - A","Ambulatorio","Especialidades","III Nivel"
193,"Consulta Externa - B","Ambulatorio","Medicina General","I Nivel"
194,"Ginecología y Obstetricia - C","Hospitalario","Maternidad","III Nivel"
195,"Unidad de Cuidados Intensivos - Norte","Hospitalario","Crítica","III Nivel"
196,"Imagenología - Sur","Apoyo","Diagnóstico","II Nivel"
197,"Pediatría - Sala 98","Hospitalario","Clínico","III Nivel"
198,"Cardiología - A","Ambulatorio","Especialidades","III Nivel"
199,"Cardiología - B","Ambulatorio","Especialidades","III Nivel"
200,"Unidad de Cuidados Intensivos - C","Hospitalario","Crítica","III Nivel"
201,"Laboratorio Clínico - Norte","Apoyo","Diagnóstico","II Nivel"
202,"Unidad de Cuidados Intensivos - Sur","Hospitalario","Crítica","III Nivel"
203,"Laboratorio Clínico - Sala 4","Apoyo","Diagnóstico","II Nivel"
204,"Pediatría - A","Hospitalario","Clínico","III Nivel"
205,"Laboratorio Clínico - B","Apoyo","Diagnóstico","II Nivel"
206,"Laboratorio Clínico - C","Apoyo","Diagnóstico","II Nivel"
207,"Unidad de Cuidados Intensivos - Norte","Hospitalario","Crítica","III Nivel"
208,"Consulta Externa - Sur","Ambulatorio","Medicina General","I Nivel"
209,"Laboratorio Clínico - Sala 10","Apoyo","Diagnóstico","II Nivel"
210,"Ginecología y Obstetricia - A","Hospitalario","Maternidad","III Nivel"
211,"Cardiología - B","Ambulatorio","Especialidades","III Nivel"
212,"Ginecología y Obstetricia - C","Hospitalario","Maternidad","III Nivel"
213,"Cirugía General - Norte","Quirúrgico","Quirófano","III Nivel"
214,"Laboratorio Clínico - Sur","Apoyo","Diagnóstico","II Nivel"
215,"Cirugía General - Sala 16","Quirúrgico","Quirófano","III Nivel"
216,"Imagenología - A","Apoyo","Diagnóstico","II Nivel"
217,"Imagenología - B","Apoyo","Diagnóstico","II Nivel"
218,"Unidad de Cuidados Intensivos - C","Hospitalario","Crítica","III Nivel"
219,"Traumatología - Norte","Hospitalario","Especialidades","III Nivel"
220,"Laboratorio Clínico - Sur","Apoyo","Diagnóstico","II Nivel"
221,"Cirugía General - Sala 22","Quirúrgico","Quirófano","III Nivel"
222,"Emergencias - A","Emergencia","Hospitalización","II Nivel"
223,"Cirugía General - B","Quirúrgico","Quirófano","III Nivel"
224,"Traumatología - C","Hospitalario","Especialidades","III Nivel"
225,"Imagenología - Norte","Apoyo","Diagnóstico","II Nivel"
226,"Imagenología - Sur","Apoyo","Diagnóstico","II Nivel"
227,"Cirugía General - Sala 28","Quirúrgico","Quirófano","III Nivel"
228,"Cardiología - A","Ambulatorio","Especialidades","III Nivel"
229,"Unidad de Cuidados Intensivos - B","Hospitalario","Crítica","III Nivel"
230,"Unidad de Cuidados Intensivos - C","Hospitalario","Crítica","III Nivel"
231,"Unidad de Cuidados Intensivos - Norte","Hospitalario","Crítica","III Nivel"
232,"Cardiología - Sur","Ambulatorio","Especialidades","III Nivel"
233,"Traumatología - Sala 34","Hospitalario","Especialidades","III Nivel"
234,"Emergencias - A","Emergencia","Hospitalización","II Nivel"
235,"Pediatría - B","Hospitalario","Clínico","III Nivel"
236,"Cardiología - C","Ambulatorio","Especialidades","III Nivel"
237,"Pediatría - Norte","Hospitalario","Clínico","III Nivel"
238,"Traumatología - Sur","Hospitalario","Especialidades","III Nivel"
239,"Cardiología - Sala 40","Ambulatorio","Especialidades","III Nivel"
240,"Cirugía General - A","Quirúrgico","Quirófano","III Nivel"
241,"Pediatría - B","Hospitalario","Clínico","III Nivel"
242,"Cardiología - C","Ambulatorio","Especialidades","III Nivel"
243,"Emergencias - Norte","Emergencia","Hospitalización","II Nivel"
244,"Traumatología - Sur","Hospitalario","Especialidades","III Nivel"
245,"Unidad de Cuidados Intensivos - Sala 46","Hospitalario","Crítica","III Nivel"
246,"Cardiología - A","Ambulatorio","Especialidades","III Nivel"
247,"Imagenología - B","Apoyo","Diagnóstico","II Nivel"
248,"Ginecología y Obstetricia - C","Hospitalario","Maternidad","III Nivel"
249,"Traumatología - Norte","Hospitalario","Especialidades","III Nivel"
250,"Unidad de Cuidados Intensivos - Sur","Hospitalario","Crítica","III Nivel"
251,"Cardiología - Sala 52","Ambulatorio","Especialidades","III Nivel"
252,"Ginecología y Obstetricia - A","Hospitalario","Maternidad","III Nivel"
253,"Unidad de Cuidados Intensivos - B","Hospitalario","Crítica","III Nivel"
254,"Emergencias - C","Emergencia","Hospitalización","II Nivel"
255,"Imagenología - Norte","Apoyo","Diagnóstico","II Nivel"
256,"Consulta Externa - Sur","Ambulatorio","Medicina General","I Nivel"
257,"Emergencias - Sala 58","Emergencia","Hospitalización","II Nivel"
258,"Ginecología y Obstetricia - A","Hospitalario","Maternidad","III Nivel"
259,"Emergencias - B","Emergencia","Hospitalización","II Nivel"
260,"Consulta Externa - C","Ambulatorio","Medicina General","I Nivel"
261,"Emergencias - Norte","Emergencia","Hospitalización","II Nivel"
262,"Cirugía General - Sur","Quirúrgico","Quirófano","III Nivel"
263,"Cirugía General - Sala 64","Quirúrgico","Quirófano","III Nivel"
264,"Pediatría - A","Hospitalario","Clínico","III Nivel"
265,"Emergencias - B","Emergencia","Hospitalización","II Nivel"
266,"Cirugía General - C","Quirúrgico","Quirófano","III Nivel"
267,"Unidad de Cuidados Intensivos - Norte","Hospitalario","Crítica","III Nivel"
268,"Cardiología - Sur","Ambulatorio","Especialidades","III Nivel"
269,"Cirugía General - Sala 70","Quirúrgico","Quirófano","III Nivel"
270,"Imagenología - A","Apoyo","Diagnóstico","II Nivel"
271,"Laboratorio Clínico - B","Apoyo","Diagnóstico","II Nivel"
272,"Traumatología - C","Hospitalario","Especialidades","III Nivel"
273,"Cardiología - Norte","Ambulatorio","Especialidades","III Nivel"
274,"Cardiología - Sur","Ambulatorio","Especialidades","III Nivel"
275,"Cirugía General - Sala 76","Quirúrgico","Quirófano","III Nivel"
276,"Imagenología - A","Apoyo","Diagnóstico","II Nivel"
277,"Pediatría - B","Hospitalario","Clínico","III Nivel"
278,"Ginecología y Obstetricia - C","Hospitalario","Maternidad","III Nivel"
279,"Laboratorio Clínico - Norte","Apoyo","Diagnóstico","II Nivel"
280,"Consulta Externa - Sur","Ambulatorio","Medicina General","I Nivel"
281,"Emergencias - Sala 82","Emergencia","Hospitalización","II Nivel"
282,"Cardiología - A","Ambulatorio","Especialidades","III Nivel"
283,"Ginecología y Obstetricia - B","Hospitalario","Maternidad","III Nivel"
284,"Laboratorio Clínico - C","Apoyo","Diagnóstico","II Nivel"
285,"Imagenología - Norte","Apoyo","Diagnóstico","II Nivel"
286,"Laboratorio Clínico - Sur","Apoyo","Diagnóstico","II Nivel"
287,"Pediatría - Sala 88","Hospitalario","Clínico","III Nivel"
288,"Imagenología - A","Apoyo","Diagnóstico","II Nivel"
289,"Traumatología - B","Hospitalario","Especialidades","III Nivel"
290,"Traumatología - C","Hospitalario","Especialidades","III Nivel"
291,"Traumatología - Norte","Hospitalario","Especialidades","III Nivel"
292,"Unidad de Cuidados Intensivos - Sur","Hospitalario","Crítica","III Nivel"
293,"Consulta Externa - Sala 94","Ambulatorio","Medicina General","I Nivel"
294,"Consulta Externa - A","Ambulatorio","Medicina General","I Nivel"
295,"Cardiología - B","Ambulatorio","Especialidades","III Nivel"
296,"Emergencias - C","Emergencia","Hospitalización","II Nivel"
297,"Consulta Externa - Norte","Ambulatorio","Medicina General","I Nivel"
298,"Emergencias - Sur","Emergencia","Hospitalización","II Nivel"
299,"Ginecología y Obstetricia - Sala 100","Hospitalario","Maternidad","III Nivel"
300,"Cardiología - A","Ambulatorio","Especialidades","III Nivel"
301,"Cirugía General - B","Quirúrgico","Quirófano","III Nivel"
302,"Unidad de Cuidados Intensivos - C","Hospitalario","Crítica","III Nivel"
303,"Imagenología - Norte","Apoyo","Diagnóstico","II Nivel"
304,"Consulta Externa - Sur","Ambulatorio","Medicina General","I Nivel"
305,"Consulta Externa - Sala 6","Ambulatorio","Medicina General","I Nivel"
306,"Unidad de Cuidados Intensivos - A","Hospitalario","Crítica","III Nivel"
307,"Consulta Externa - B","Ambulatorio","Medicina General","I Nivel"
308,"Emergencias - C","Emergencia","Hospitalización","II Nivel"
309,"Cirugía General - Norte","Quirúrgico","Quirófano","III Nivel"
310,"Ginecología y Obstetricia - Sur","Hospitalario","Maternidad","III Nivel"
311,"Imagenología - Sala 12","Apoyo","Diagnóstico","II Nivel"
312,"Consulta Externa - A","Ambulatorio","Medicina General","I Nivel"
313,"Cardiología - B","Ambulatorio","Especialidades","III Nivel"
314,"Cardiología - C","Ambulatorio","Especialidades","III Nivel"
315,"Ginecología y Obstetricia - Norte","Hospitalario","Maternidad","III Nivel"
316,"Cardiología - Sur","Ambulatorio","Especialidades","III Nivel"
317,"Pediatría - Sala 18","Hospitalario","Clínico","III Nivel"
318,"Ginecología y Obstetricia - A","Hospitalario","Maternidad","III Nivel"
319,"Ginecología y Obstetricia - B","Hospitalario","Maternidad","III Nivel"
320,"Traumatología - C","Hospitalario","Especialidades","III Nivel"
321,"Traumatología - Norte","Hospitalario","Especialidades","III Nivel"
322,"Unidad de Cuidados Intensivos - Sur","Hospitalario","Crítica","III Nivel"
323,"Cirugía General - Sala 24","Quirúrgico","Quirófano","III Nivel"
324,"Cardiología - A","Ambulatorio","Especialidades","III Nivel"
325,"Laboratorio Clínico - B","Apoyo","Diagnóstico","II Nivel"
326,"Cardiología - C","Ambulatorio","Especialidades","III Nivel"
327,"Emergencias - Norte","Emergencia","Hospitalización","II Nivel"
328,"Traumatología - Sur","Hospitalario","Especialidades","III Nivel"
329,"Emergencias - Sala 30","Emergencia","Hospitalización","II Nivel"
330,"Imagenología - A","Apoyo","Diagnóstico","II Nivel"
331,"Cirugía General - B","Quirúrgico","Quirófano","III Nivel"
332,"Traumatología - C","Hospitalario","Especialidades","III Nivel"
333,"Imagenología - Norte","Apoyo","Diagnóstico","II Nivel"
334,"Imagenología - Sur","Apoyo","Diagnóstico","II Nivel"
335,"Traumatología - Sala 36","Hospitalario","Especialidades","III Nivel"
336,"Cardiología - A","Ambulatorio","Especialidades","III Nivel"
337,"Imagenología - B","Apoyo","Diagnóstico","II Nivel"
338,"Imagenología - C","Apoyo","Diagnóstico","II Nivel"
339,"Unidad de Cuidados Intensivos - Norte","Hospitalario","Crítica","III Nivel"
340,"Cardiología - Sur","Ambulatorio","Especialidades","III Nivel"
341,"Cardiología - Sala 42","Ambulatorio","Especialidades","III Nivel"
342,"Laboratorio Clínico - A","Apoyo","Diagnóstico","II Nivel"
343,"Imagenología - B","Apoyo","Diagnóstico","II Nivel"
344,"Traumatología - C","Hospitalario","Especialidades","III Nivel"
345,"Laboratorio Clínico - Norte","Apoyo","Diagnóstico","II Nivel"
346,"Traumatología - Sur","Hospitalario","Especialidades","III Nivel"
347,"Imagenología - Sala 48","Apoyo","Diagnóstico","II Nivel"
348,"Pediatría - A","Hospitalario","Clínico","III Nivel"
349,"Consulta Externa - B","Ambulatorio","Medicina General","I Nivel"
350,"Consulta Externa - C","Ambulatorio","Medicina General","I Nivel"
351,"Emergencias - Norte","Emergencia","Hospitalización","II Nivel"
352,"Imagenología - Sur","Apoyo","Diagnóstico","II Nivel"
353,"Cirugía General - Sala 54","Quirúrgico","Quirófano","III Nivel"
354,"Consulta Externa - A","Ambulatorio","Medicina General","I Nivel"
355,"Cardiología - B","Ambulatorio","Especialidades","III Nivel"
356,"Traumatología - C","Hospitalario","Especialidades","III Nivel"
357,"Pediatría - Norte","Hospitalario","Clínico","III Nivel"
358,"Pediatría - Sur","Hospitalario","Clínico","III Nivel"
359,"Cardiología - Sala 60","Ambulatorio","Especialidades","III Nivel"
360,"Traumatología - A","Hospitalario","Especialidades","III Nivel"
361,"Imagenología - B","Apoyo","Diagnóstico","II Nivel"
362,"Imagenología - C","Apoyo","Diagnóstico","II Nivel"
363,"Cirugía General - Norte","Quirúrgico","Quirófano","III Nivel"
364,"Ginecología y Obstetricia - Sur","Hospitalario","Maternidad","III Nivel"
365,"Cardiología - Sala 66","Ambulatorio","Especialidades","III Nivel"
366,"Cirugía General - A","Quirúrgico","Quirófano","III Nivel"
367,"Emergencias - B","Emergencia","Hospitalización","II Nivel"
368,"Consulta Externa - C","Ambulatorio","Medicina General","I Nivel"
369,"Cirugía General - Norte","Quirúrgico","Quirófano","III Nivel"
370,"Imagenología - Sur","Apoyo","Diagnóstico","II Nivel"
371,"Laboratorio Clínico - Sala 72","Apoyo","Diagnóstico","II Nivel"
372,"Emergencias - A","Emergencia","Hospitalización","II Nivel"
373,"Laboratorio Clínico - B","Apoyo","Diagnóstico","II Nivel"
374,"Laboratorio Clínico - C","Apoyo","Diagnóstico","II Nivel"
375,"Imagenología - Norte","Apoyo","Diagnóstico","II Nivel"
376,"Consulta Externa - Sur","Ambulatorio","Medicina General","I Nivel"
377,"Laboratorio Clínico - Sala 78","Apoyo","Diagnóstico","II Nivel"
378,"Unidad de Cuidados Intensivos - A","Hospitalario","Crítica","III Nivel"
379,"Cardiología - B","Ambulatorio","Especialidades","III Nivel"
380,"Consulta Externa - C","Ambulatorio","Medicina General","I Nivel"
381,"Imagenología - Norte","Apoyo","Diagnóstico","II Nivel"
382,"Laboratorio Clínico - Sur","Apoyo","Diagnóstico","II Nivel"
383,"Cardiología - Sala 84","Ambulatorio","Especialidades","III Nivel"
384,"Imagenología - A","Apoyo","Diagnóstico","II Nivel"
385,"Laboratorio Clínico - B","Apoyo","Diagnóstico","II Nivel"
386,"Emergencias - C","Emergencia","Hospitalización","II Nivel"
387,"Unidad de Cuidados Intensivos - Norte","Hospitalario","Crítica","III Nivel"
388,"Unidad de Cuidados Intensivos - Sur","Hospitalario","Crítica","III Nivel"
389,"Traumatología - Sala 90","Hospitalario","Especialidades","III Nivel"
390,"Imagenología - A","Apoyo","Diagnóstico","II Nivel"
391,"Unidad de Cuidados Intensivos - B","Hospitalario","Crítica","III Nivel"
392,"Traumatología - C","Hospitalario","Especialidades","III Nivel"
393,"Imagenología - Norte","Apoyo","Diagnóstico","II Nivel"
394,"Traumatología - Sur","Hospitalario","Especialidades","III Nivel"
395,"Cardiología - Sala 96","Ambulatorio","Especialidades","III Nivel"
396,"Laboratorio Clínico - A","Apoyo","Diagnóstico","II Nivel"
397,"Traumatología - B","Hospitalario","Especialidades","III Nivel"
